estudiante_id,numero_lista,materia,trimestre,seccion,fecha,semana,tema,participaciones,tipo_participacion,asistencia
anon_003,,Computación Emergente,2526-1,,2025-09-25,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_003,,Computación Emergente,2526-1,,2025-09-30,4,Aplicaciones de Redes Neurales,0.0,,
anon_003,,Computación Emergente,2526-1,,2025-10-09,5,Aspectos básicos de la evolución natural,0.0,,
anon_003,,Computación Emergente,2526-1,,2025-10-14,6,Algoritmo Genético,0.0,,
anon_003,,Computación Emergente,2526-1,,2025-10-21,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_003,,Computación Emergente,2526-1,,2025-10-23,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_003,,Computación Emergente,2526-1,,2025-10-28,8,Autómatas,0.0,,
anon_003,,Computación Emergente,2526-1,,2025-11-06,9,Autómatas celulares,0.0,,
anon_003,,Computación Emergente,2526-1,,2025-11-11,10,Tipos de autómatas celulares,0.0,,
anon_003,,Computación Emergente,2526-1,,2025-11-18,11,Tipos de Vecindades,0.0,,
anon_107,,Computación Emergente,2526-1,,2025-09-09,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_107,,Computación Emergente,2526-1,,2025-09-11,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_107,,Computación Emergente,2526-1,,2025-09-16,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_107,,Computación Emergente,2526-1,,2025-09-18,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_107,,Computación Emergente,2526-1,,2025-09-23,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,1.0,,
anon_107,,Computación Emergente,2526-1,,2025-09-25,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,1.0,,
anon_107,,Computación Emergente,2526-1,,2025-09-30,4,Aplicaciones de Redes Neurales,1.0,,
anon_107,,Computación Emergente,2526-1,,2025-10-09,5,Aspectos básicos de la evolución natural,1.0,,
anon_107,,Computación Emergente,2526-1,,2025-10-14,6,Algoritmo Genético,1.0,,
anon_107,,Computación Emergente,2526-1,,2025-10-21,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,1.0,,
anon_107,,Computación Emergente,2526-1,,2025-10-23,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,1.0,,
anon_107,,Computación Emergente,2526-1,,2025-10-28,8,Autómatas,3.0,,
anon_107,,Computación Emergente,2526-1,,2025-11-06,9,Autómatas celulares,1.0,,
anon_107,,Computación Emergente,2526-1,,2025-11-11,10,Tipos de autómatas celulares,1.0,,
anon_107,,Computación Emergente,2526-1,,2025-11-18,11,Tipos de Vecindades,1.0,,
anon_068,,Computación Emergente,2526-1,,2025-09-09,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_068,,Computación Emergente,2526-1,,2025-09-11,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_068,,Computación Emergente,2526-1,,2025-09-16,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_068,,Computación Emergente,2526-1,,2025-09-18,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_068,,Computación Emergente,2526-1,,2025-09-23,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_068,,Computación Emergente,2526-1,,2025-09-25,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_068,,Computación Emergente,2526-1,,2025-09-30,4,Aplicaciones de Redes Neurales,0.0,,
anon_068,,Computación Emergente,2526-1,,2025-10-09,5,Aspectos básicos de la evolución natural,0.0,,
anon_068,,Computación Emergente,2526-1,,2025-10-14,6,Algoritmo Genético,0.0,,
anon_068,,Computación Emergente,2526-1,,2025-10-21,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,1.0,,
anon_068,,Computación Emergente,2526-1,,2025-10-23,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_068,,Computación Emergente,2526-1,,2025-10-28,8,Autómatas,0.0,,
anon_068,,Computación Emergente,2526-1,,2025-11-06,9,Autómatas celulares,1.0,,
anon_068,,Computación Emergente,2526-1,,2025-11-11,10,Tipos de autómatas celulares,0.0,,
anon_068,,Computación Emergente,2526-1,,2025-11-18,11,Tipos de Vecindades,0.0,,
anon_119,,Computación Emergente,2526-1,,2025-09-09,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_119,,Computación Emergente,2526-1,,2025-09-11,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_119,,Computación Emergente,2526-1,,2025-09-16,2,Redes a Capas | Tipos de entrenamiento,1.0,,
anon_119,,Computación Emergente,2526-1,,2025-09-18,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_119,,Computación Emergente,2526-1,,2025-09-23,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,2.0,,
anon_119,,Computación Emergente,2526-1,,2025-09-25,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,1.0,,
anon_119,,Computación Emergente,2526-1,,2025-09-30,4,Aplicaciones de Redes Neurales,1.0,,
anon_119,,Computación Emergente,2526-1,,2025-10-09,5,Aspectos básicos de la evolución natural,2.0,,
anon_119,,Computación Emergente,2526-1,,2025-10-14,6,Algoritmo Genético,0.0,,
anon_119,,Computación Emergente,2526-1,,2025-10-21,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,1.0,,
anon_119,,Computación Emergente,2526-1,,2025-10-23,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,1.0,,
anon_119,,Computación Emergente,2526-1,,2025-10-28,8,Autómatas,1.0,,
anon_119,,Computación Emergente,2526-1,,2025-11-06,9,Autómatas celulares,1.0,,
anon_119,,Computación Emergente,2526-1,,2025-11-11,10,Tipos de autómatas celulares,1.0,,
anon_119,,Computación Emergente,2526-1,,2025-11-18,11,Tipos de Vecindades,1.0,,
anon_039,,Computación Emergente,2526-1,,2025-09-09,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_039,,Computación Emergente,2526-1,,2025-09-11,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_039,,Computación Emergente,2526-1,,2025-09-16,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_039,,Computación Emergente,2526-1,,2025-09-18,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_039,,Computación Emergente,2526-1,,2025-09-23,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_039,,Computación Emergente,2526-1,,2025-09-25,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_039,,Computación Emergente,2526-1,,2025-09-30,4,Aplicaciones de Redes Neurales,0.0,,
anon_039,,Computación Emergente,2526-1,,2025-10-09,5,Aspectos básicos de la evolución natural,0.0,,
anon_039,,Computación Emergente,2526-1,,2025-10-14,6,Algoritmo Genético,0.0,,
anon_039,,Computación Emergente,2526-1,,2025-10-21,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_039,,Computación Emergente,2526-1,,2025-10-23,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_039,,Computación Emergente,2526-1,,2025-10-28,8,Autómatas,0.0,,
anon_039,,Computación Emergente,2526-1,,2025-11-06,9,Autómatas celulares,0.0,,
anon_039,,Computación Emergente,2526-1,,2025-11-11,10,Tipos de autómatas celulares,0.0,,
anon_039,,Computación Emergente,2526-1,,2025-11-18,11,Tipos de Vecindades,0.0,,
anon_087,,Computación Emergente,2526-1,,2025-09-09,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_087,,Computación Emergente,2526-1,,2025-09-11,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_087,,Computación Emergente,2526-1,,2025-09-16,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_087,,Computación Emergente,2526-1,,2025-09-18,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_087,,Computación Emergente,2526-1,,2025-09-23,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_087,,Computación Emergente,2526-1,,2025-09-25,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,1.0,,
anon_087,,Computación Emergente,2526-1,,2025-09-30,4,Aplicaciones de Redes Neurales,0.0,,
anon_087,,Computación Emergente,2526-1,,2025-10-09,5,Aspectos básicos de la evolución natural,0.0,,
anon_087,,Computación Emergente,2526-1,,2025-10-14,6,Algoritmo Genético,0.0,,
anon_087,,Computación Emergente,2526-1,,2025-10-21,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_087,,Computación Emergente,2526-1,,2025-10-23,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_087,,Computación Emergente,2526-1,,2025-10-28,8,Autómatas,0.0,,
anon_087,,Computación Emergente,2526-1,,2025-11-06,9,Autómatas celulares,0.0,,
anon_087,,Computación Emergente,2526-1,,2025-11-11,10,Tipos de autómatas celulares,0.0,,
anon_087,,Computación Emergente,2526-1,,2025-11-18,11,Tipos de Vecindades,0.0,,
anon_001,,Computación Emergente,2526-1,,2025-09-09,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_001,,Computación Emergente,2526-1,,2025-09-11,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_001,,Computación Emergente,2526-1,,2025-09-16,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_001,,Computación Emergente,2526-1,,2025-09-18,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_001,,Computación Emergente,2526-1,,2025-09-23,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_001,,Computación Emergente,2526-1,,2025-09-25,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_001,,Computación Emergente,2526-1,,2025-09-30,4,Aplicaciones de Redes Neurales,0.0,,
anon_001,,Computación Emergente,2526-1,,2025-10-09,5,Aspectos básicos de la evolución natural,0.0,,
anon_001,,Computación Emergente,2526-1,,2025-10-14,6,Algoritmo Genético,0.0,,
anon_001,,Computación Emergente,2526-1,,2025-10-21,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_001,,Computación Emergente,2526-1,,2025-10-23,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_001,,Computación Emergente,2526-1,,2025-10-28,8,Autómatas,0.0,,
anon_001,,Computación Emergente,2526-1,,2025-11-06,9,Autómatas celulares,0.0,,
anon_001,,Computación Emergente,2526-1,,2025-11-11,10,Tipos de autómatas celulares,0.0,,
anon_001,,Computación Emergente,2526-1,,2025-11-18,11,Tipos de Vecindades,0.0,,
anon_086,,Computación Emergente,2526-1,,2025-09-09,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_086,,Computación Emergente,2526-1,,2025-09-11,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_086,,Computación Emergente,2526-1,,2025-09-16,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_086,,Computación Emergente,2526-1,,2025-09-18,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_086,,Computación Emergente,2526-1,,2025-09-23,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_086,,Computación Emergente,2526-1,,2025-09-25,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_086,,Computación Emergente,2526-1,,2025-09-30,4,Aplicaciones de Redes Neurales,0.0,,
anon_086,,Computación Emergente,2526-1,,2025-10-09,5,Aspectos básicos de la evolución natural,0.0,,
anon_086,,Computación Emergente,2526-1,,2025-10-14,6,Algoritmo Genético,0.0,,
anon_086,,Computación Emergente,2526-1,,2025-10-21,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_086,,Computación Emergente,2526-1,,2025-10-23,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_086,,Computación Emergente,2526-1,,2025-10-28,8,Autómatas,0.0,,
anon_086,,Computación Emergente,2526-1,,2025-11-06,9,Autómatas celulares,0.0,,
anon_086,,Computación Emergente,2526-1,,2025-11-11,10,Tipos de autómatas celulares,0.0,,
anon_086,,Computación Emergente,2526-1,,2025-11-18,11,Tipos de Vecindades,0.0,,
anon_069,,Computación Emergente,2526-1,,2025-09-09,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_069,,Computación Emergente,2526-1,,2025-09-11,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_069,,Computación Emergente,2526-1,,2025-09-16,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_069,,Computación Emergente,2526-1,,2025-09-18,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_069,,Computación Emergente,2526-1,,2025-09-23,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_069,,Computación Emergente,2526-1,,2025-09-25,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,1.0,,
anon_069,,Computación Emergente,2526-1,,2025-09-30,4,Aplicaciones de Redes Neurales,0.0,,
anon_069,,Computación Emergente,2526-1,,2025-10-09,5,Aspectos básicos de la evolución natural,0.0,,
anon_069,,Computación Emergente,2526-1,,2025-10-14,6,Algoritmo Genético,0.0,,
anon_069,,Computación Emergente,2526-1,,2025-10-21,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_069,,Computación Emergente,2526-1,,2025-10-23,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_069,,Computación Emergente,2526-1,,2025-10-28,8,Autómatas,0.0,,
anon_069,,Computación Emergente,2526-1,,2025-11-06,9,Autómatas celulares,0.0,,
anon_069,,Computación Emergente,2526-1,,2025-11-11,10,Tipos de autómatas celulares,0.0,,
anon_069,,Computación Emergente,2526-1,,2025-11-18,11,Tipos de Vecindades,0.0,,
anon_021,,Computación Emergente,2526-1,,2025-09-09,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_021,,Computación Emergente,2526-1,,2025-09-11,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_021,,Computación Emergente,2526-1,,2025-09-16,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_021,,Computación Emergente,2526-1,,2025-09-18,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_021,,Computación Emergente,2526-1,,2025-09-23,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,1.0,,
anon_021,,Computación Emergente,2526-1,,2025-09-25,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_021,,Computación Emergente,2526-1,,2025-09-30,4,Aplicaciones de Redes Neurales,0.0,,
anon_021,,Computación Emergente,2526-1,,2025-10-09,5,Aspectos básicos de la evolución natural,0.0,,
anon_021,,Computación Emergente,2526-1,,2025-10-14,6,Algoritmo Genético,0.0,,
anon_021,,Computación Emergente,2526-1,,2025-10-21,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_021,,Computación Emergente,2526-1,,2025-10-23,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_021,,Computación Emergente,2526-1,,2025-10-28,8,Autómatas,0.0,,
anon_021,,Computación Emergente,2526-1,,2025-11-06,9,Autómatas celulares,0.0,,
anon_021,,Computación Emergente,2526-1,,2025-11-11,10,Tipos de autómatas celulares,0.0,,
anon_021,,Computación Emergente,2526-1,,2025-11-18,11,Tipos de Vecindades,0.0,,
anon_082,,Computación Emergente,2526-1,,2025-09-09,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_082,,Computación Emergente,2526-1,,2025-09-11,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_082,,Computación Emergente,2526-1,,2025-09-16,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_082,,Computación Emergente,2526-1,,2025-09-18,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_082,,Computación Emergente,2526-1,,2025-09-23,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_082,,Computación Emergente,2526-1,,2025-09-25,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_082,,Computación Emergente,2526-1,,2025-09-30,4,Aplicaciones de Redes Neurales,0.0,,
anon_082,,Computación Emergente,2526-1,,2025-10-09,5,Aspectos básicos de la evolución natural,0.0,,
anon_082,,Computación Emergente,2526-1,,2025-10-14,6,Algoritmo Genético,0.0,,
anon_082,,Computación Emergente,2526-1,,2025-10-21,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_082,,Computación Emergente,2526-1,,2025-10-23,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_082,,Computación Emergente,2526-1,,2025-10-28,8,Autómatas,0.0,,
anon_082,,Computación Emergente,2526-1,,2025-11-06,9,Autómatas celulares,0.0,,
anon_082,,Computación Emergente,2526-1,,2025-11-11,10,Tipos de autómatas celulares,0.0,,
anon_082,,Computación Emergente,2526-1,,2025-11-18,11,Tipos de Vecindades,0.0,,
anon_028,,Computación Emergente,2526-1,,2025-09-09,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_028,,Computación Emergente,2526-1,,2025-09-11,1,Antecedentes y definición de una red neuronal artificial. | Retropropagación (backpropagation),0.0,,
anon_028,,Computación Emergente,2526-1,,2025-09-16,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_028,,Computación Emergente,2526-1,,2025-09-18,2,Redes a Capas | Tipos de entrenamiento,0.0,,
anon_028,,Computación Emergente,2526-1,,2025-09-23,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_028,,Computación Emergente,2526-1,,2025-09-25,3,Aplicaciones de Redes Neurales | Aplicaciones de Redes Neurales,0.0,,
anon_028,,Computación Emergente,2526-1,,2025-09-30,4,Aplicaciones de Redes Neurales,0.0,,
anon_028,,Computación Emergente,2526-1,,2025-10-09,5,Aspectos básicos de la evolución natural,0.0,,
anon_028,,Computación Emergente,2526-1,,2025-10-14,6,Algoritmo Genético,0.0,,
anon_028,,Computación Emergente,2526-1,,2025-10-21,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_028,,Computación Emergente,2526-1,,2025-10-23,7,Algoritmo genético modificado (AGM) | Aplicaciones de algoritmos genéticos,0.0,,
anon_028,,Computación Emergente,2526-1,,2025-10-28,8,Autómatas,0.0,,
anon_028,,Computación Emergente,2526-1,,2025-11-06,9,Autómatas celulares,0.0,,
anon_028,,Computación Emergente,2526-1,,2025-11-11,10,Tipos de autómatas celulares,0.0,,
anon_028,,Computación Emergente,2526-1,,2025-11-18,11,Tipos de Vecindades,0.0,,
