estudiante_id,numero_lista,materia,trimestre,seccion,fecha,semana,tema,participaciones,tipo_participacion,asistencia
anon_316,,Algoritmos y Programación,2526-2,,,3,Estructuras de Repetición Manejo de Arreglos,3.0,,
anon_316,,Algoritmos y Programación,2526-2,,,4,4. Manejo de Arreglos (cont.) Pase de parámetros,0.0,,
anon_316,,Algoritmos y Programación,2526-2,,,5,[Resolución de ejercicios],0.0,,
anon_316,,Algoritmos y Programación,2526-2,,,6,"Clases, objetos y mensajes",0.0,,
anon_316,,Algoritmos y Programación,2526-2,,,7,[Carnaval – No hay clase] Concepto de encapsulamiento,0.0,,
anon_316,,Algoritmos y Programación,2526-2,,,8,7. Concepto de encapsulamiento (cont.) Entrada de datos,0.0,,
anon_316,,Algoritmos y Programación,2526-2,,,9,Recursividad,1.0,,
anon_316,,Algoritmos y Programación,2526-2,,,10,Métodos de ordenamiento y búsqueda,0.0,,
anon_316,,Algoritmos y Programación,2526-2,,,11,,0.0,,
anon_316,,Algoritmos y Programación,2526-2,,,12,[Exámenes de Recuperación y revisión de notas],0.0,,
anon_306,,Algoritmos y Programación,2526-2,,,1,Introducción a la programación,1.0,,
anon_306,,Algoritmos y Programación,2526-2,,,2,Estructuras de Decisión,0.0,,
anon_306,,Algoritmos y Programación,2526-2,,,3,Estructuras de Repetición Manejo de Arreglos,2.0,,
anon_306,,Algoritmos y Programación,2526-2,,,4,4. Manejo de Arreglos (cont.) Pase de parámetros,0.0,,
anon_306,,Algoritmos y Programación,2526-2,,,5,[Resolución de ejercicios],0.0,,
anon_306,,Algoritmos y Programación,2526-2,,,6,"Clases, objetos y mensajes",0.0,,
anon_306,,Algoritmos y Programación,2526-2,,,7,[Carnaval – No hay clase] Concepto de encapsulamiento,0.0,,
anon_306,,Algoritmos y Programación,2526-2,,,8,7. Concepto de encapsulamiento (cont.) Entrada de datos,0.0,,
anon_306,,Algoritmos y Programación,2526-2,,,9,Recursividad,1.0,,
anon_306,,Algoritmos y Programación,2526-2,,,10,Métodos de ordenamiento y búsqueda,0.0,,
anon_306,,Algoritmos y Programación,2526-2,,,11,,0.0,,
anon_306,,Algoritmos y Programación,2526-2,,,12,[Exámenes de Recuperación y revisión de notas],0.0,,
anon_292,,Algoritmos y Programación,2526-2,,,1,Introducción a la programación,1.0,,
anon_292,,Algoritmos y Programación,2526-2,,,2,Estructuras de Decisión,0.0,,
anon_292,,Algoritmos y Programación,2526-2,,,3,Estructuras de Repetición Manejo de Arreglos,3.0,,
anon_292,,Algoritmos y Programación,2526-2,,,4,4. Manejo de Arreglos (cont.) Pase de parámetros,0.0,,
anon_292,,Algoritmos y Programación,2526-2,,,5,[Resolución de ejercicios],0.0,,
anon_292,,Algoritmos y Programación,2526-2,,,6,"Clases, objetos y mensajes",0.0,,
anon_292,,Algoritmos y Programación,2526-2,,,7,[Carnaval – No hay clase] Concepto de encapsulamiento,0.0,,
anon_292,,Algoritmos y Programación,2526-2,,,8,7. Concepto de encapsulamiento (cont.) Entrada de datos,0.0,,
anon_292,,Algoritmos y Programación,2526-2,,,9,Recursividad,1.0,,
anon_292,,Algoritmos y Programación,2526-2,,,10,Métodos de ordenamiento y búsqueda,0.0,,
anon_292,,Algoritmos y Programación,2526-2,,,11,,0.0,,
anon_292,,Algoritmos y Programación,2526-2,,,12,[Exámenes de Recuperación y revisión de notas],0.0,,
anon_303,,Algoritmos y Programación,2526-2,,,1,Introducción a la programación,0.0,,
anon_303,,Algoritmos y Programación,2526-2,,,2,Estructuras de Decisión,0.0,,
anon_303,,Algoritmos y Programación,2526-2,,,3,Estructuras de Repetición Manejo de Arreglos,0.0,,
anon_303,,Algoritmos y Programación,2526-2,,,4,4. Manejo de Arreglos (cont.) Pase de parámetros,0.0,,
anon_303,,Algoritmos y Programación,2526-2,,,5,[Resolución de ejercicios],0.0,,
anon_303,,Algoritmos y Programación,2526-2,,,6,"Clases, objetos y mensajes",0.0,,
anon_303,,Algoritmos y Programación,2526-2,,,7,[Carnaval – No hay clase] Concepto de encapsulamiento,0.0,,
anon_303,,Algoritmos y Programación,2526-2,,,8,7. Concepto de encapsulamiento (cont.) Entrada de datos,0.0,,
anon_303,,Algoritmos y Programación,2526-2,,,9,Recursividad,0.0,,
anon_303,,Algoritmos y Programación,2526-2,,,10,Métodos de ordenamiento y búsqueda,0.0,,
anon_303,,Algoritmos y Programación,2526-2,,,11,,0.0,,
anon_303,,Algoritmos y Programación,2526-2,,,12,[Exámenes de Recuperación y revisión de notas],0.0,,
anon_238,,Algoritmos y Programación,2526-2,,,1,Introducción a la programación,0.0,,
anon_238,,Algoritmos y Programación,2526-2,,,2,Estructuras de Decisión,0.0,,
anon_238,,Algoritmos y Programación,2526-2,,,3,Estructuras de Repetición Manejo de Arreglos,0.0,,
anon_238,,Algoritmos y Programación,2526-2,,,4,4. Manejo de Arreglos (cont.) Pase de parámetros,0.0,,
anon_238,,Algoritmos y Programación,2526-2,,,5,[Resolución de ejercicios],0.0,,
anon_238,,Algoritmos y Programación,2526-2,,,6,"Clases, objetos y mensajes",0.0,,
anon_238,,Algoritmos y Programación,2526-2,,,7,[Carnaval – No hay clase] Concepto de encapsulamiento,0.0,,
anon_238,,Algoritmos y Programación,2526-2,,,8,7. Concepto de encapsulamiento (cont.) Entrada de datos,0.0,,
anon_238,,Algoritmos y Programación,2526-2,,,9,Recursividad,0.0,,
anon_238,,Algoritmos y Programación,2526-2,,,10,Métodos de ordenamiento y búsqueda,0.0,,
anon_238,,Algoritmos y Programación,2526-2,,,11,,0.0,,
anon_238,,Algoritmos y Programación,2526-2,,,12,[Exámenes de Recuperación y revisión de notas],0.0,,
anon_135,,Algoritmos y Programación,2526-2,,,1,Introducción a la programación,0.0,,
anon_135,,Algoritmos y Programación,2526-2,,,2,Estructuras de Decisión,0.0,,
anon_135,,Algoritmos y Programación,2526-2,,,3,Estructuras de Repetición Manejo de Arreglos,0.0,,
anon_135,,Algoritmos y Programación,2526-2,,,4,4. Manejo de Arreglos (cont.) Pase de parámetros,0.0,,
anon_135,,Algoritmos y Programación,2526-2,,,5,[Resolución de ejercicios],0.0,,
anon_135,,Algoritmos y Programación,2526-2,,,6,"Clases, objetos y mensajes",0.0,,
anon_135,,Algoritmos y Programación,2526-2,,,7,[Carnaval – No hay clase] Concepto de encapsulamiento,0.0,,
anon_135,,Algoritmos y Programación,2526-2,,,8,7. Concepto de encapsulamiento (cont.) Entrada de datos,0.0,,
anon_135,,Algoritmos y Programación,2526-2,,,9,Recursividad,0.0,,
anon_135,,Algoritmos y Programación,2526-2,,,10,Métodos de ordenamiento y búsqueda,0.0,,
anon_135,,Algoritmos y Programación,2526-2,,,11,,0.0,,
anon_135,,Algoritmos y Programación,2526-2,,,12,[Exámenes de Recuperación y revisión de notas],0.0,,
