numero_lista,estudiante_id,materia,trimestre,seccion,semana,dia_sesion,tema,tipo_sesion,participaciones,asistencia,anio_academico
3,anon_033,Algoritmos y Programación,2425-2,2,9,martes,0,sin_clase,,,4
3,anon_033,Algoritmos y Programación,2425-2,2,9,jueves,0,evaluacion,0,,4
3,anon_033,Algoritmos y Programación,2425-2,2,10,martes,10,contenido,0,,4
3,anon_033,Algoritmos y Programación,2425-2,2,10,jueves,0,repaso,0,,4
3,anon_033,Algoritmos y Programación,2425-2,2,11,martes,0,evaluacion,0,,4
3,anon_033,Algoritmos y Programación,2425-2,2,11,jueves,0,evaluacion,0,,4
3,anon_033,Algoritmos y Programación,2425-2,2,12,martes,0,administrativa,0,,4
3,anon_033,Algoritmos y Programación,2425-2,2,12,jueves,0,administrativa,0,,4
4,anon_034,Algoritmos y Programación,2425-2,2,1,martes,0,administrativa,1,1,2
4,anon_034,Algoritmos y Programación,2425-2,2,1,jueves,1,contenido,2,1,2
4,anon_034,Algoritmos y Programación,2425-2,2,2,martes,2,contenido,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,2,jueves,3,contenido,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,3,martes,4,contenido,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,3,jueves,4,contenido,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,4,martes,5,contenido,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,4,jueves,0,repaso,1,1,2
4,anon_034,Algoritmos y Programación,2425-2,2,5,martes,0,evaluacion,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,5,jueves,6,contenido,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,6,martes,0,evaluacion,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,6,jueves,6,contenido,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,7,martes,6,contenido,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,7,jueves,8,contenido,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,8,martes,9,contenido,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,8,jueves,10,contenido,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,9,martes,0,sin_clase,,,2
4,anon_034,Algoritmos y Programación,2425-2,2,9,jueves,0,evaluacion,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,10,martes,10,contenido,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,10,jueves,0,repaso,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,11,martes,0,evaluacion,0,,2
4,anon_034,Algoritmos y Programación,2425-2,2,11,jueves,0,evaluacion,0,,2
